timestamp,visitorid,event,itemid,transactionId
1433193535886,820159,view,369447,
1433194351839,1065157,view,197980,
1433193992715,820159,view,281211,
1433218757551,168685,addtocart,111530,
1433216559709,777089,view,221329,
1433218807424,741671,view,443875,
1433219492276,1270927,view,278679,
1433218636795,776534,view,20388,
1433218656883,776534,view,20388,
1433173938045,322407,view,309403,
1433172520454,1172198,view,414460,
1433174827775,1093035,view,287356,
1433173071125,322407,view,260957,
1433175484641,878815,view,355994,
1433175469591,878815,view,355994,
1433175895575,138131,addtocart,430292,
1433176296108,350566,view,379520,
1433172453651,73449,view,65286,
1433182524934,1327144,view,442871,
1433182464666,945225,view,279052,
1433182122967,820159,view,305588,
1433183365367,508015,view,215868,
1433181873120,38015,view,304685,
1433183566658,820159,view,215363,
1433181186858,286616,view,387373,
1433183929432,1210904,view,263188,
1433171534393,820159,view,334401,
1433169615085,1364162,view,315543,
1433171380700,1364162,view,315543,
1433171633764,820159,view,215363,
1433163167361,1335622,view,277762,
1433171450237,409324,view,340960,
1433177582885,73449,view,140861,
1433177474869,350566,view,355994,
1433178416205,145572,view,175555,
1433178842963,401352,view,292444,
1433178395659,286616,view,92466,
1433178320645,1161163,view,321712,
1433179908132,322407,view,260957,
1433177212152,878815,view,355994,
1433177494199,322407,view,140861,
1433180085940,1346478,view,157492,
1433179850389,286616,view,89044,
1433179356443,322407,view,177522,
1433179247846,945225,view,279052,
1433178221721,1161163,view,321712,
1433201698338,463561,view,29196,
1433199920262,434418,view,159822,
1433198846574,1210904,view,398756,
1433200613547,350566,view,12217,
1433211359879,1270927,view,278679,
1433208599360,1364162,view,315543,
1433211301597,163344,view,252068,
1433207720030,1313863,view,373128,
1433209055261,1210904,view,398756,
1433189879180,85734,view,366859,
1433190414924,820159,view,19588,
1433189107815,404403,addtocart,118199,
1433188637288,38015,view,383717,
1433190605306,1093035,view,366859,
1433160826396,1328244,view,144540,
1433151759810,1086719,view,440248,
1433138911142,217095,view,448453,
1433145269402,603168,view,319723,
1433161522695,417915,view,254477,
1433196925412,820159,view,288418,
1433195896355,820159,view,315543,
1433195352844,286616,view,444365,
1433195850288,1185234,view,174719,
1433212918759,1364162,view,12765,
1433215709915,13660,view,218626,
1433204478189,708918,view,275559,
1433203057696,404403,view,421884,
1433205267106,404403,view,330506,
1433187283751,404403,transaction,50934,7686.0
1433184861415,820159,view,381613,
1433187642655,1093035,view,215868,
1433186780820,820159,view,461765,
1433185096832,1364162,view,315543,
1433184323863,401352,view,140861,
1433187438899,350566,view,118199,
1433184761124,1364162,view,315543,
1433184378503,508015,view,215868,
1433185659121,1210904,view,205139,
1433186347849,404403,view,50934,
1433213532850,957260,view,212216,
1433213447161,957260,view,367664,
1433213377166,957260,view,414410,
1433212612225,1364162,view,12765,
1433212510542,579049,view,430292,
1433194735401,1210904,view,398756,
1433193736629,463561,view,281211,
1433191828857,878815,view,355994,
1433194012214,820159,view,456056,
1433192376158,286616,view,308648,
1433193464775,825321,view,92271,
1433194580456,1185234,view,174719,
1433176231069,138131,view,7943,
1433176072547,518659,view,143185,
1433175880417,138131,view,430292,
1433176474048,350566,view,379520,
1433173925102,145572,view,175555,
1433176573293,409324,view,355994,
1433173308204,829289,view,448044,
1433148224671,580290,view,241555,
1433142975061,899237,view,370653,
1433140846841,580290,view,241555,
1433138959673,217095,view,448453,
1433182509349,1327144,view,442871,
1433182584511,1210904,view,429607,
1433182171883,286616,view,437293,
1433182583147,1327144,view,442871,
1433181974262,1210904,view,421884,
1433182228255,286616,addtocart,437293,
1433181181541,286616,view,387373,
1433180853320,1346478,view,218626,
1433182419766,1210904,view,398756,
1433176910023,322407,view,456889,
1433177781018,286616,view,119736,
1433178463438,1161163,transaction,321712,17496.0
1433177707025,73449,view,5470,
1433178589865,350566,view,36810,
1433179174455,401352,view,399031,
1433176796705,350566,view,379520,
1433180336840,138131,view,245168,
1433177821968,73449,view,314789,
1433179654592,138131,view,144076,
1433177150858,1093035,view,281211,
1433200532544,434418,addtocart,159822,
1433201292033,820159,view,391289,
1433210952866,585935,view,389172,
1433207858655,1089235,view,291877,
1433211830864,286616,view,67811,
1433207755465,1210904,view,421884,
1433211528493,404403,view,454784,
1433208396296,286616,view,315543,
1433218681510,776534,view,20388,
1433218560197,957260,view,367664,
1433219036320,957260,view,301324,
1433195613158,404403,view,141328,
1433196833259,1327144,view,331567,
1433196061839,1327144,view,366859,
1433196269940,38015,view,298868,
1433197011523,1327144,view,366859,
1433171367561,286616,view,409804,
1433165223667,417915,view,282806,
1433171919559,388556,view,306289,
1433171539351,409324,view,134255,
1433169515976,1364162,view,315543,
1433169015898,1364162,view,315543,
1433167814335,856874,view,340808,
1433171663003,825321,view,92271,
1433188611078,286616,view,456056,
1433190177944,77390,view,396042,
1433190414234,350566,view,268335,
1433190654361,1093035,view,366859,
1433189428186,820159,view,29196,
1433190505137,820159,view,19588,
1433207128024,138131,view,139435,
1433206186168,708918,view,275559,
1433204863025,404403,addtocart,380493,
1433207011968,286616,view,275559,
1433206346348,708918,addtocart,275559,
1433204410887,198153,addtocart,409804,
1433186820654,579049,view,430292,
1433186233476,776534,view,20388,
1433187612497,404403,view,180751,
1433187179794,404403,addtocart,50934,
1433185703381,777089,view,221329,
1433185151067,23005,view,405493,
1433223075964,708918,view,275559,
1433221441657,878815,view,355994,
1433192553973,85734,view,60980,
1433194017637,1093035,view,355994,
1433194170991,6410,view,278893,
1433194017996,820159,view,334401,
1433192627499,85734,view,60980,
1433193961768,1093035,view,355994,
1433192613057,85734,view,60980,
1433194570105,1065157,view,176106,
1433194592016,820159,view,456056,
1433193774665,1093035,view,120822,
1433201706229,416496,view,312728,
1433202147651,623277,view,167126,
1433201036201,518659,view,436748,
1433199829333,404403,view,188148,
1433202781983,388556,view,306289,
1433202247473,388556,view,306289,
1433202709062,404403,transaction,26210,15931.0
1433173816574,145572,view,175555,
1433172185203,286616,view,58638,
1433173856616,559484,view,303715,
1433176226469,350566,view,379520,
1433176768695,322407,view,456889,
1433175126249,73449,view,340921,
1433176526294,409324,view,355994,
1433174397294,73449,view,374092,
1433175808083,878815,view,234255,
1433173319083,829289,view,287356,
1433176937371,322407,view,348352,
1433179916602,322407,addtocart,260957,
1433180634921,138131,transaction,245168,6985.0
1433179881438,286616,view,89044,
1433179877551,286616,view,303828,
1433179872260,286616,view,261979,
1433179867135,286616,view,303715,
1433180525793,286616,view,49521,
1433180041295,1346478,view,234255,
1433177275962,145572,view,175555,
1433179858411,1346478,view,290999,
1433179953207,1346478,view,242905,
1433179112716,322407,view,357531,
1433180213290,286616,view,303828,
1433177879001,286616,view,186702,
1433179988697,1346478,view,51360,
1433177385279,350566,view,427103,
1433179992292,322407,transaction,260957,7215.0
1433179225129,899237,view,370653,
1433180762680,1349637,view,193828,
1433182455090,286616,view,288525,
1433181038306,286616,view,315543,
1433183171594,508015,view,215868,
1433180689259,286616,view,49521,
1433182840357,1210904,view,453487,
1433182318883,1210904,view,429607,
1433181791806,1210904,view,421884,
1433182470459,945225,view,279052,
1433183134140,1210904,view,429607,
1433183688215,404403,view,20740,
1433162129413,249153,view,204038,
1433217952186,249153,view,204038,
1433217935519,517249,view,455006,
1433219259071,517249,view,455006,
1433218651643,26633,view,141328,
1433208426113,1366764,view,243980,
